[l,n]	Base4h	Base16h	Base32
[7,30]	'033G	'3V	'
[8,60]	'0330	'3c	'
[9,120]	'0330G	'3cG	'
[10,240]	'03300	'3cJ	'7g
[10,241]	'03301	'3cK	'7h
[9,121]	'0330H	'3cH	'
[10,242]	'03302	'3cL	'7i
[10,243]	'03303	'3cM	'7j
[8,61]	'0331	'3d	'
[9,122]	'0331G	'3dG	'
[10,244]	'03310	'3dJ	'7k
[10,245]	'03311	'3dK	'7l
[9,123]	'0331H	'3dH	'
[10,246]	'03312	'3dL	'7m
[10,247]	'03313	'3dM	'7n
[7,31]	'033H	'3Z	'
[8,62]	'0332	'3e	'
[9,124]	'0332G	'3eG	'
[10,248]	'03320	'3eJ	'7o
[10,249]	'03321	'3eK	'7p
[9,125]	'0332H	'3eH	'
[10,250]	'03322	'3eL	'7q
[10,251]	'03323	'3eM	'7r
[8,63]	'0333	'3f	'
[9,126]	'0333G	'3fG	'
[10,252]	'03330	'3fJ	'7s
[10,253]	'03331	'3fK	'7t
[9,127]	'0333H	'3fH	'
[10,254]	'03332	'3fL	'7u
[10,255]	'03333	'3fM	'7v
[2,1]	'1	'K	'
[3,2]	'1G	'Q	'
[4,4]	'10	'4	'
[5,8]	'10G	'4G	'8
[6,16]	'100	'4J	'
[7,32]	'100G	'4N	'
[8,64]	'1000	'40	'
[9,128]	'1000G	'40G	'
[10,256]	'10000	'40J	'80
[10,257]	'10001	'40K	'81
[9,129]	'1000H	'40H	'
[10,258]	'10002	'40L	'82
[10,259]	'10003	'40M	'83
[8,65]	'1001	'41	'
[9,130]	'1001G	'41G	'
[10,260]	'10010	'41J	'84
[10,261]	'10011	'41K	'85
[9,131]	'1001H	'41H	'
[10,262]	'10012	'41L	'86
[10,263]	'10013	'41M	'87
[7,33]	'100H	'4P	'
[8,66]	'1002	'42	'
[9,132]	'1002G	'42G	'
[10,264]	'10020	'42J	'88
[10,265]	'10021	'42K	'89
[9,133]	'1002H	'42H	'
[10,266]	'10022	'42L	'8a
[10,267]	'10023	'42M	'8b
[8,67]	'1003	'43	'
[9,134]	'1003G	'43G	'
[10,268]	'10030	'43J	'8c
[10,269]	'10031	'43K	'8d
[9,135]	'1003H	'43H	'
[10,270]	'10032	'43L	'8e
[10,271]	'10033	'43M	'8f
[6,17]	'101	'4K	'
[7,34]	'101G	'4Q	'
[8,68]	'1010	'44	'
[9,136]	'1010G	'44G	'
[10,272]	'10100	'44J	'8g
[10,273]	'10101	'44K	'8h
[9,137]	'1010H	'44H	'
[10,274]	'10102	'44L	'8i
[10,275]	'10103	'44M	'8j
[8,69]	'1011	'45	'
[9,138]	'1011G	'45G	'
[10,276]	'10110	'45J	'8k
[10,277]	'10111	'45K	'8l
[9,139]	'1011H	'45H	'
[10,278]	'10112	'45L	'8m
[10,279]	'10113	'45M	'8n
[7,35]	'101H	'4R	'
[8,70]	'1012	'46	'
[9,140]	'1012G	'46G	'
[10,280]	'10120	'46J	'8o
[10,281]	'10121	'46K	'8p
[9,141]	'1012H	'46H	'
[10,282]	'10122	'46L	'8q
[10,283]	'10123	'46M	'8r
[8,71]	'1013	'47	'
[9,142]	'1013G	'47G	'
[10,284]	'10130	'47J	'8s
[10,285]	'10131	'47K	'8t
[9,143]	'1013H	'47H	'
[10,286]	'10132	'47L	'8u
[10,287]	'10133	'47M	'8v
[5,9]	'10H	'4H	'9
[6,18]	'102	'4L	'
[7,36]	'102G	'4S	'
[8,72]	'1020	'48	'
[9,144]	'1020G	'48G	'
[10,288]	'10200	'48J	'90
[10,289]	'10201	'48K	'91
[9,145]	'1020H	'48H	'
[10,290]	'10202	'48L	'92
